CLIENT_ECI,note_id,date,author_banker_id,channel,text,client_reaction,topic,linked_REQUEST_ID
9713446212,N0000,2026-07-25,BKR1250,CALL,$53.1mm landed from Chase on 2026-07-24 (inbound wire other bank). Parked short-term for now — strong opening to move it into a deposit before it leaves.,POSITIVE,LIQUIDITY,
9713446212,N0001,2026-06-29,BKR1250,NOTE,Engagement preference — likes an in-person quarterly review.,NEUTRAL,RELATIONSHIP,
9713446212,N0002,2026-02-09,BKR1250,MEETING,Ravi is a tech founder who recently took Cedarline Bio public. Personal: just became a grandparent. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
7438486480,N0011,2026-07-07,BKR0207,TEAMS,At risk — worried about FDIC coverage across entities. Get ahead of it before Bank of America deepens the relationship.,NO_RESPONSE,RETENTION,
7438486480,N0010,2026-05-14,BKR0207,MEETING,Andre is a owner of a regional specialty-food business with seasonal cash flows. Personal: planning a second home in Aspen. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
7438486480,N0012,2026-04-08,BKR0207,NOTE,"Engagement preference — routes everything through their family-office analyst, Lena.",NEUTRAL,RELATIONSHIP,
5110572429,N0021,2026-07-27,BKR0318,EMAIL,Their CD (~$0.3mm) matures 2026-08-12; is consolidating away from UBS and open to moving more to us. Wants to talk renewal — hates rate-only pitches — lead with the relationship.,NEUTRAL,MATURITY_PLANNING,
5110572429,N0020,2026-05-09,BKR0318,NOTE,Engagement preference — hates rate-only pitches — lead with the relationship.,NEUTRAL,RELATIONSHIP,
5110572429,N0022,2026-02-12,BKR0318,MEETING,Talia is a PE partner with lumpy carry distributions. Personal: splits time between New York and Nantucket. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
4791662170,N0030,2026-07-19,BKR1038,EMAIL,"Their TD (~$6.6mm) matures 2026-08-10; worried about FDIC coverage across entities. Wants to talk renewal — routes everything through their family-office analyst, Mei.",NEUTRAL,MATURITY_PLANNING,
4791662170,N0031,2026-03-07,BKR1038,NOTE,"Engagement preference — routes everything through their family-office analyst, Mei.",NEUTRAL,RELATIONSHIP,
4791662170,N0032,2026-02-20,BKR1038,MEETING,Noah is a two-generation trust-and-estate relationship. Personal: sits on two nonprofit boards. Long-standing relationship; banks multiple entities with us.,POSITIVE,RELATIONSHIP,
